var,q1,q2,q3,q4,q5, all, q5 - q1
bm,0.495,0.952,1.386,1.993,3.623,1.689,3.128***
size,1702370.142,764249.208,323667.739,204797.439,119698.188,623379.919,-1582671.954***
beta,0.881,0.861,0.84,0.829,0.857,0.854,-0.024
ret12,0.097,0.147,0.227,0.275,0.396,0.228,0.299***
ret24,0.196,0.283,0.421,0.553,0.755,0.441,0.559***
ret36,0.347,0.451,0.704,0.878,1.155,0.706,0.808***
sret12,-0.094,-0.057,-0.002,0.035,0.128,0.002,0.222***
sret24,-0.184,-0.128,-0.021,0.091,0.248,0.001,0.431***
sret36,-0.281,-0.209,-0.001,0.138,0.37,0.003,0.651***
n obs,11056,,,,,,
