var,ivolatility,price,volume,zerofreq,analysts,size
n obs,10842,10652,10652,10842,10652,11056,
P1,0.472,1.087,0.508,0.856,0.463,1.097,
,264 177,261 192,462 67,136 375,211 231,349 98,
P2,0.426,1.08,0.524,0.817,0.753,0.461,
,246 184,260 152,338 76,186 291,262 175,320 121,
P3,0.564,0.847,0.571,0.746,1.037,0.72,
,225 181,253 133,306 105,164 243,259 166,306 127,
P4,0.472,0.629,0.494,0.82,0.658,0.829,
,246 168,225 148,248 110,213 224,251 139,288 122,
P5,0.74,0.634,0.677,0.513,0.849,0.816,
,228 182,249 154,208 129,239 208,248 131,219 168,
P6,0.518,0.427,0.767,0.368,0.797,0.559,
,218 200,231 158,171 163,215 163,314 157,181 176,
P7,0.511,0.486,0.762,0.638,0.445,0.737,
,195 201,175 218,144 226,221 182,229 143,182 231,
P8,0.288,0.514,0.84,0.614,0.785,0.819,
,193 211,171 230,113 293,244 160,172 238,172 309,
P9,1.006,0.133,1.084,0.556,0.618,0.736,
,199 282,192 280,96 427,256 147,118 284,125 349,
P10,1.076,0.675,0.484,0.842,0.423,0.337,
,173 347,140 411,71 480,313 140,93 412,64 512,
